Group 1 ,x,xerr,center x,y,yerr,center y,time,R sun,latitude,lat err,longitude,long err,day,Time (s),Time (day),day
Group 4,x,xerr,center x,y,yerr,center y,time,R sun,latitude,lat err,longitude,long err,day,Time (s),Time (day),day
1,,,5.12E+02,,,5.12E+02,01:35:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,1,0,0,86400
2,,,5.13E+02,,,5.12E+02,06:23:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,2,103680,1.2,
3,,,5.13E+02,,,5.12E+02,20:43:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,3,241680,2.797222222,
4,,,5.13E+02,,,5.12E+02,11:11:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,5,380160,4.4,
5,,,5.13E+02,,,5.12E+02,20:27:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,6,499920,5.786111111,
6,91,2.50555,5.13E+02,745.2,8.97525,5.12E+02,23:59:30,4.98E+02,0.487376251,0.012044082,-1.011835083,0.027533516,7,599040,6.933333333,
7,138.5,4,5.13E+02,767.8,7.3575,5.12E+02,06:23:30,4.98E+02,0.539546637,0.009582574,-0.851340691,0.028880866,9,708480,8.2,
8,210.5,6.8516,5.13E+02,775.2,5.6691,5.12E+02,11:11:30,4.98E+02,0.556977356,0.00731308,-0.653332201,0.032549169,10,812160,9.4,
9,314.2,7.33335,5.13E+02,780.5,7.6956,5.12E+02,19:11:30,4.98E+02,0.569588597,0.009859833,-0.411297547,0.023339752,11,927360,10.73333333,
10,423.2,8.1665,5.13E+02,783.2,7.50185,5.12E+02,23:59:30,4.97E+02,0.575848339,0.00957846,-0.181700909,0.019297023,12,1031040,11.93333333,
11,543.8,7.50185,5.13E+02,783.8,8.5797,5.12E+02,06:23:30,4.97E+02,0.577323872,0.010946287,0.06235017,0.013795237,14,1140480,13.2,
12,657.2,7.6739,5.13E+02,782.8,6.33335,5.12E+02,11:11:30,4.97E+02,0.575018211,0.008090636,0.294437362,0.011676659,15,1244160,14.4,
13,766.5,7.00795,5.13E+02,777.2,6.50855,5.12E+02,17:35:30,4.97E+02,0.561718514,0.008374357,0.534598816,0.009142792,16,1353600,15.66666667,
,,,,,,,,,,,,,,,,
Group 5,x,xerr,center x,y,yerr,centery,time,R_Sun,latitude ,lat err,longitude,long err,day,Time (s),Time (day),day
1,,,5.12E+02,,,5.12E+02,01:35:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,1,0,0,86400
2,,,5.13E+02,,,5.12E+02,06:23:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,2,103680,1.2,
3,,,5.13E+02,,,5.12E+02,20:43:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,3,241680,2.797222222,
4,,,5.13E+02,,,5.12E+02,11:11:30,4.98E+02,#NUM!,#DIV/0!,#NUM!,#DIV/0!,5,380160,4.4,
